gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000025900.12	OTTMUSG00000049985.3	Rp1	0.0111441834886255	0.0111462372865345	4.82512792232482	0.999986139451014	1	Not regulated
ENSMUSG00000025902.13	OTTMUSG00000050014.7	Sox17	-0.755607723878794	-0.755678551224137	5.32697570150569	0.0278396131531527	0.609458099507764	Down-regulated
ENSMUSG00000104238.1	OTTMUSG00000050024.2	Gm37587	-0.83543175956995	-0.841459335125899	-0.757008324258643	0.138263823531779	1	Not regulated
ENSMUSG00000104328.1	OTTMUSG00000050028.1	Gm37323	0.332957314791965	0.333996909311624	-0.566200579726492	0.546005797269645	1	Not regulated
ENSMUSG00000033845.13	OTTMUSG00000029329.3	Mrpl15	-0.0128055890180693	-0.0128082489385289	4.47378970311488	0.999921725359284	1	Not regulated
ENSMUSG00000025903.14	OTTMUSG00000021562.4	Lypla1	0.14982936627702	0.149901277593794	3.46461999650399	0.918874514643036	1	Not regulated
ENSMUSG00000033813.15	OTTMUSG00000042348.1	Tcea1	0.0928214347437654	0.0928876352930396	2.23333651332505	0.870047005871887	1	Not regulated
ENSMUSG00000033793.12	OTTMUSG00000050145.9	Atp6v1h	0.0119983870924792	0.0120013853962955	5.63244477147195	0.999898183254382	1	Not regulated
ENSMUSG00000025907.14	OTTMUSG00000033467.12	Rb1cc1	0.0550667246156912	0.0550669505123087	9.80573750962076	0.99991689486113	1	Not regulated
ENSMUSG00000102706.1	OTTMUSG00000050241.1	Gm7417	-0.14833720399106	-0.148370103709763	3.89220819186922	0.946270707938475	1	Not regulated
ENSMUSG00000103845.1	OTTMUSG00000050243.1	Gm19026	0.0107207751395006	0.0107240855130517	2.85389514893282	0.997527662010068	1	Not regulated
ENSMUSG00000051285.17	OTTMUSG00000043373.5	Pcmtd1	0.361937146583811	0.36745034420862	-0.784763506304961	0.509897619589148	1	Not regulated
ENSMUSG00000097797.6	OTTMUSG00000050305.3	Gm26901	0.0659841359150516	0.066151903211775	0.813902434514861	0.971288757447656	1	Not regulated
ENSMUSG00000025909.16	OTTMUSG00000033160.4	Sntg1	0.138344974823303	0.138418963965835	1.89371216315765	0.999999997555754	1	Not regulated
ENSMUSG00000086235.1	OTTMUSG00000033159.1	Gm16284	0.643856479326977	0.647140979039193	-1.06666107190265	0.215110166230014	1	Not regulated
ENSMUSG00000061024.8	OTTMUSG00000045230.1	Rrs1	0.337611866049492	0.338209919416332	3.52790755324484	0.671594811172092	1	Not regulated
ENSMUSG00000025911.14	OTTMUSG00000022305.3	Adhfe1	0.506823356670017	0.508485801875561	1.1528070867582	0.380948756737079	1	Not regulated
ENSMUSG00000067879.3	OTTMUSG00000022603.1	Vxn	0.687666711718616	0.689245406576444	-0.157126463658425	0.156545032953348	1	Not regulated
ENSMUSG00000025912.16	OTTMUSG00000034736.3	Mybl1	-0.058807546734417	-0.0588106090718025	7.00647642635378	0.998739833306963	1	Not regulated
ENSMUSG00000045210.8	OTTMUSG00000022113.1	Vcpip1	-0.404682733988064	-0.404706102704827	6.23595825322102	0.851015001458373	1	Not regulated
ENSMUSG00000097893.8	OTTMUSG00000045232.2	1700034P13Rik	-0.474648723563184	-0.474770415055397	3.7281526868214	0.578373754016938	1	Not regulated
ENSMUSG00000025915.14	OTTMUSG00000045250.2	Sgk3	0.228294413540426	0.228363428453651	3.98070105890216	0.993070424209991	1	Not regulated
ENSMUSG00000046101.16	OTTMUSG00000021854.3	Mcmdc2	0.38325829352382	0.383951986596445	3.27548665119188	0.52092331017692	1	Not regulated
ENSMUSG00000098234.7	OTTMUSG00000043382.2	Snhg6	-0.00807526506991849	-0.00808385105573509	1.59365506203622	0.997241155872523	1	Not regulated
ENSMUSG00000099032.2	OTTMUSG00000044905.1	Tcf24	0.657471193931433	0.660384376355703	1.80583216591176	0.261508109676535	1	Not regulated
ENSMUSG00000025916.10	OTTMUSG00000026413.4	Ppp1r42	-0.205703609645977	-0.205710559809143	6.41373715009094	0.974118661704893	1	Not regulated
ENSMUSG00000025917.9	OTTMUSG00000029459.3	Cops5	-0.173590274016762	-0.173593382254898	7.6672597989922	0.999578681381179	1	Not regulated
ENSMUSG00000056763.16	OTTMUSG00000027401.8	Cspp1	-0.00547238644797143	-0.00547283040557135	6.06814002588698	0.998683828441894	1	Not regulated
ENSMUSG00000067851.11	OTTMUSG00000033923.2	Arfgef1	0.232006778911079	0.232010129097653	7.76046232608871	0.979119796314241	1	Not regulated
ENSMUSG00000042501.12	OTTMUSG00000024232.1	Cpa6	0.511755403595228	0.512091274634766	1.71390983971726	0.363389261927973	1	Not regulated
ENSMUSG00000048960.13	OTTMUSG00000047927.1	Prex2	2.38048561276188	2.38358231891094	1.15618819677665	2.617099687683e-09	7.76319004023033e-06	Up-regulated
ENSMUSG00000057715.13	OTTMUSG00000033915.2	A830018L16Rik	0.655477888414078	0.657829502635892	0.585913503894103	0.15768842549349	1	Not regulated
ENSMUSG00000097171.1	OTTMUSG00000047994.1	Gm17644	-0.0756725534817114	-0.0757446859946452	1.10069910597812	0.928330021458755	1	Not regulated
ENSMUSG00000101314.1	OTTMUSG00000047515.1	Gm29663	-0.34106797567383	-0.34227961013927	-0.723345919286951	0.543439332821562	1	Not regulated
ENSMUSG00000016918.15	OTTMUSG00000047995.3	Sulf1	0.447855057352194	0.449571944891507	-0.398615438389607	0.406523253042931	1	Not regulated
ENSMUSG00000025938.16	OTTMUSG00000022327.2	Slco5a1	0.0716199339562085	0.0717888358581227	-0.0251572917532913	0.911427828108203	1	Not regulated
ENSMUSG00000099498.1	OTTMUSG00000048027.1	Gm29283	0.00210324500713436	0.00213060627575388	-0.642006979711416	0.997654946498016	1	Not regulated
ENSMUSG00000005886.14	OTTMUSG00000021630.4	Ncoa2	0.260963883448675	0.260974005957512	6.30932612161475	0.774761683464414	1	Not regulated
ENSMUSG00000025935.10	OTTMUSG00000049113.1	Tram1	-0.0145287889855163	-0.0145289498887757	8.31495363435467	0.999999943900354	1	Not regulated
ENSMUSG00000025932.14	OTTMUSG00000049176.2	Eya1	0.57356697987362	0.57401859074315	1.26916110770312	0.265263882125665	1	Not regulated
ENSMUSG00000073737.3	OTTMUSG00000049208.1	Gm10566	2.61607413997508	2.64016184747711	-0.963209000933533	1.9122126545895e-06	0.00066732472208596	Up-regulated
ENSMUSG00000025925.14	OTTMUSG00000047984.2	Terf1	-0.125412165106831	-0.12543472674532	4.87504636389949	0.995948874448086	1	Not regulated
ENSMUSG00000104379.1	OTTMUSG00000048057.1	Gm37509	0.258755090392397	0.260913881603387	-0.412123458862884	0.66195889426149	1	Not regulated
ENSMUSG00000067795.13	OTTMUSG00000022165.2	4930444P10Rik	-0.258029150434362	-0.258040720665202	6.14978750352035	0.997372522375729	1	Not regulated
ENSMUSG00000043716.13	OTTMUSG00000016936.3	Rpl7	-0.070567217884879	-0.0705697218631106	7.00916307173994	0.999811051933405	1	Not regulated
ENSMUSG00000025921.7	OTTMUSG00000025248.1	Rdh10	0.257104724950868	0.257385138496339	1.53978196981221	0.702223463638404	1	Not regulated
ENSMUSG00000025920.19	OTTMUSG00000033135.7	Stau2	0.98486610631185	0.989681973453791	-0.206151843125414	0.0227415606683926	0.537500759514379	Up-regulated
ENSMUSG00000089982.7	OTTMUSG00000034215.1	Gm7568	0.128312584751667	0.128479977512444	0.746586576639426	0.857190875386358	1	Not regulated
ENSMUSG00000025939.17	OTTMUSG00000029683.3	Ube2w	-0.0458980903932016	-0.0459028706776454	5.02572739293577	0.99547970848953	1	Not regulated
ENSMUSG00000102457.1	OTTMUSG00000048075.1	Gm38342	-0.0723016766505104	-0.0723247861157886	3.40406567610293	0.996993306933714	1	Not regulated
