gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000025900.12	OTTMUSG00000049985.3	Rp1	-0.0871339130487191	-0.0871413441625877	4.82512792232482	0.999840299592059	1	Not regulated
ENSMUSG00000025902.13	OTTMUSG00000050014.7	Sox17	-1.00574262163287	-1.00587147710291	5.32697570150569	0.000202590053214639	0.0487256455015425	Down-regulated
ENSMUSG00000104238.1	OTTMUSG00000050024.2	Gm37587	-0.931656256242284	-0.941124806196944	-0.757008324258643	0.102968157841651	1	Not regulated
ENSMUSG00000104328.1	OTTMUSG00000050028.1	Gm37323	-0.0785922218090716	-0.0812061831441903	-0.566200579726492	0.916574089434797	1	Not regulated
ENSMUSG00000033845.13	OTTMUSG00000029329.3	Mrpl15	0.281180931905883	0.28121230631363	4.47378970311488	0.970893402057477	1	Not regulated
ENSMUSG00000025903.14	OTTMUSG00000021562.4	Lypla1	0.289323126230596	0.289382560480159	3.46461999650399	0.786250342909654	1	Not regulated
ENSMUSG00000033813.15	OTTMUSG00000042348.1	Tcea1	0.211350366468511	0.211545882805849	2.23333651332505	0.708017980885502	1	Not regulated
ENSMUSG00000033793.12	OTTMUSG00000050145.9	Atp6v1h	0.144225362914211	0.144230555855439	5.63244477147195	0.997509152453196	1	Not regulated
ENSMUSG00000025907.14	OTTMUSG00000033467.12	Rb1cc1	-0.105045340365119	-0.105045731402665	9.80573750962076	0.99971465588142	1	Not regulated
ENSMUSG00000102706.1	OTTMUSG00000050241.1	Gm7417	-0.317605861064972	-0.317698561962962	3.89220819186922	0.77431777387156	1	Not regulated
ENSMUSG00000103845.1	OTTMUSG00000050243.1	Gm19026	-0.0634432919459615	-0.0635249517784325	2.85389514893282	0.978862990453242	1	Not regulated
ENSMUSG00000051285.17	OTTMUSG00000043373.5	Pcmtd1	0.495891466937044	0.503423169983172	-0.784763506304961	0.354329096024166	1	Not regulated
ENSMUSG00000097797.6	OTTMUSG00000050305.3	Gm26901	0.209814770919518	0.210164656326013	0.813902434514861	0.889737612607855	1	Not regulated
ENSMUSG00000025909.16	OTTMUSG00000033160.4	Sntg1	-0.0519697423946507	-0.052347215125766	1.89371216315765	0.974169195986521	1	Not regulated
ENSMUSG00000086235.1	OTTMUSG00000033159.1	Gm16284	0.516922297399071	0.558728866769872	-1.06666107190265	0.51850656210525	1	Not regulated
ENSMUSG00000061024.8	OTTMUSG00000045230.1	Rrs1	0.493129333617546	0.49319651812692	3.52790755324484	0.429317993917308	1	Not regulated
ENSMUSG00000025911.14	OTTMUSG00000022305.3	Adhfe1	0.11626737022687	0.116414143664304	1.1528070867582	0.964566338985277	1	Not regulated
ENSMUSG00000067879.3	OTTMUSG00000022603.1	Vxn	-0.199187311649228	-0.203610050486178	-0.157126463658425	0.718026365759272	1	Not regulated
ENSMUSG00000025912.16	OTTMUSG00000034736.3	Mybl1	-0.0310357435213274	-0.0310363536490762	7.00647642635378	0.999457995726865	1	Not regulated
ENSMUSG00000045210.8	OTTMUSG00000022113.1	Vcpip1	-0.0108010403734669	-0.0108014650766386	6.23595825322102	0.99998010918201	1	Not regulated
ENSMUSG00000097893.8	OTTMUSG00000045232.2	1700034P13Rik	-0.0534706534320203	-0.0534844661100303	3.7281526868214	0.998925363412588	1	Not regulated
ENSMUSG00000025915.14	OTTMUSG00000045250.2	Sgk3	-0.00597564851110833	-0.00597656677791321	3.98070105890216	0.999990030021637	1	Not regulated
ENSMUSG00000046101.16	OTTMUSG00000021854.3	Mcmdc2	0.368618273663381	0.368678385292084	3.27548665119188	0.51228242462388	1	Not regulated
ENSMUSG00000098234.7	OTTMUSG00000043382.2	Snhg6	0.186711769154995	0.186885141209397	1.59365506203622	0.921305694868115	1	Not regulated
ENSMUSG00000099032.2	OTTMUSG00000044905.1	Tcf24	0.860201922062639	0.860625443669208	1.80583216591176	0.0931345777040362	1	Not regulated
ENSMUSG00000025916.10	OTTMUSG00000026413.4	Ppp1r42	-0.209104878195934	-0.209116284359536	6.41373715009094	0.972419722176929	1	Not regulated
ENSMUSG00000025917.9	OTTMUSG00000029459.3	Cops5	0.000110019906097069	0.00011002009243142	7.6672597989922	0.999999974668028	1	Not regulated
ENSMUSG00000056763.16	OTTMUSG00000027401.8	Cspp1	-0.00794555582835194	-0.00794580280496504	6.06814002588698	0.998191454205623	1	Not regulated
ENSMUSG00000067851.11	OTTMUSG00000033923.2	Arfgef1	-0.0585761818704589	-0.0585773106620585	7.76046232608871	0.999104526775031	1	Not regulated
ENSMUSG00000042501.12	OTTMUSG00000024232.1	Cpa6	0.0270068634352395	0.0273003538578335	1.71390983971726	0.968409128175068	1	Not regulated
ENSMUSG00000048960.13	OTTMUSG00000047927.1	Prex2	2.33861049605579	2.38712176076739	1.15618819677665	1.34150101107196e-05	0.00746126093595586	Up-regulated
ENSMUSG00000057715.13	OTTMUSG00000033915.2	A830018L16Rik	0.690541353610179	0.691814369293414	0.585913503894103	0.112745597233919	1	Not regulated
