GSEA_RSbp_NAME	GSEA_RSbp_ES	GSEA_RSbp_NOM.p.val	GSEA_SCbp_NAME	GSEA_SCbp_ES	GSEA_SCbp_NOM.p.val	GSEA_SCIIbp_NAME	GSEA_SCIIbp_ES	GSEA_SCIIbp_NOM.p.val
GO_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	0.78575426	0	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.78485084	0	GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS	0.67198426	0
GO_INNERVATION	0.77187043	0	GO_POSITIVE_REGULATION_OF_ANION_TRANSPORT	0.694004	0	GO_DENDRITIC_CELL_DIFFERENTIATION	0.75293267	0
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.58856	0	GO_T_CELL_MEDIATED_CYTOTOXICITY	0.76895696	0	GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	0.69579375	0
GO_MYOFIBRIL_ASSEMBLY	0.6440777	0	GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	0.6428294	0	GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS	0.66615486	0
GO_POSITIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.6623708	0	GO_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	0.6697897	0	GO_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	0.6642316	0
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.5979085	0	GO_REGULATION_OF_ANION_TRANSPORT	0.59284234	0	GO_DIGESTION	0.6382186	0
GO_REGULATION_OF_LIPASE_ACTIVITY	0.6117782	0	GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION	0.63758993	0	GO_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	0.62094706	0
GO_REGULATION_OF_MUSCLE_CONTRACTION	0.58115405	0	GO_TERPENOID_METABOLIC_PROCESS	0.5780894	0	GO_HORMONE_BIOSYNTHETIC_PROCESS	0.63409567	0
GO_SMOOTH_MUSCLE_CONTRACTION	0.62047595	0	GO_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	0.5966997	0	GO_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	0.63699484	0
GO_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.57915777	0	GO_OSTEOCLAST_DIFFERENTIATION	0.57379925	0	GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.6117344	0
GO_GLAND_MORPHOGENESIS	0.59060204	0	GO_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.53433657	0	GO_MEMORY	0.60103244	0
GO_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY	0.72229105	0	GO_BONE_REMODELING	0.56111413	0	GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	0.66874456	0
GO_PEPTIDYL_TYROSINE_MODIFICATION	0.54577804	0	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	0.5611027	0	GO_REGULATION_OF_ANION_TRANSPORT	0.61889225	0
GO_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	0.5740726	0	GO_ISOPRENOID_METABOLIC_PROCESS	0.5275752	0	GO_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.58654326	0
GO_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	0.6386233	0	GO_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.4878182	0	GO_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.5856811	0
GO_SYNAPSE_ASSEMBLY	0.5594115	0	GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.4866624	0	GO_REGULATION_OF_AXON_GUIDANCE	0.6354226	0
GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.5589386	0	GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	0.4952199	0	GO_CALCIUM_ION_IMPORT	0.6015054	0
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	0.55993134	0	GO_TRANSITION_METAL_ION_HOMEOSTASIS	0.49559143	0	GO_REGULATION_OF_LIPASE_ACTIVITY	0.59226876	0
GO_CARDIAC_MUSCLE_CONTRACTION	0.5528343	0	GO_HORMONE_METABOLIC_PROCESS	0.48703066	0	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	0.60650223	0
